,year,factor,1.0,2.0,3.0,H-L
0,2008-01-01,GL,0.75,0.729,0.819,-0.069
1,2009-01-01,GL,0.899,1.033,1.16,-0.261
2,2010-01-01,GL,1.124,1.248,1.559,-0.435
3,2011-01-01,GL,1.176,1.224,1.7,-0.525
4,2012-01-01,GL,1.363,1.413,1.932,-0.57
5,2013-01-01,GL,1.782,1.913,2.534,-0.752
6,2014-01-01,GL,2.042,2.18,2.834,-0.793
7,2015-01-01,GL,2.178,2.178,2.838,-0.66
8,2016-01-01,GL,2.545,2.631,3.233,-0.688
9,2017-01-01,GL,3.057,3.16,3.95,-0.893
10,2018-01-01,GL,3.058,3.064,4.022,-0.964
11,2019-01-01,GL,3.802,3.784,4.984,-1.183
12,2008-01-01,SC,,0.763,,
13,2009-01-01,SC,,0.979,,
14,2010-01-01,SC,,1.214,,
15,2011-01-01,SC,,1.242,,
16,2012-01-01,SC,,1.416,,
17,2013-01-01,SC,,1.841,,
18,2014-01-01,SC,,2.077,,
19,2015-01-01,SC,,2.129,,
20,2016-01-01,SC,,2.467,,
21,2017-01-01,SC,,2.917,,
22,2018-01-01,SC,,2.885,,
23,2019-01-01,SC,,3.51,,
24,2008-01-01,RS,0.76,0.731,0.8,-0.04
25,2009-01-01,RS,1.083,0.876,0.978,0.105
26,2010-01-01,RS,1.372,1.057,1.208,0.163
27,2011-01-01,RS,1.405,1.073,1.246,0.159
28,2012-01-01,RS,1.568,1.235,1.439,0.129
29,2013-01-01,RS,1.988,1.675,1.843,0.146
30,2014-01-01,RS,2.228,1.973,1.954,0.273
31,2015-01-01,RS,2.306,2.113,1.908,0.397
32,2016-01-01,RS,2.703,2.453,2.177,0.526
33,2017-01-01,RS,3.11,2.948,2.598,0.512
34,2018-01-01,RS,3.135,2.945,2.516,0.618
35,2019-01-01,RS,3.807,3.573,3.068,0.739
36,2008-01-01,LE,0.813,0.749,0.735,0.078
37,2009-01-01,LE,1.027,0.996,0.918,0.109
38,2010-01-01,LE,1.242,1.189,1.199,0.042
39,2011-01-01,LE,1.248,1.216,1.267,-0.019
40,2012-01-01,LE,1.429,1.432,1.392,0.037
41,2013-01-01,LE,1.824,1.851,1.847,-0.023
42,2014-01-01,LE,1.994,2.116,2.1,-0.106
43,2015-01-01,LE,2.003,2.113,2.266,-0.263
44,2016-01-01,LE,,2.449,,
45,2017-01-01,LE,,2.895,,
46,2018-01-01,LE,,2.864,,
47,2019-01-01,LE,,3.483,,
48,2008-01-01,mkvalt,,0.763,,
49,2009-01-01,mkvalt,,0.979,,
50,2010-01-01,mkvalt,,1.214,,
51,2011-01-01,mkvalt,,1.242,,
52,2012-01-01,mkvalt,,1.416,,
53,2013-01-01,mkvalt,,1.841,,
54,2014-01-01,mkvalt,,2.077,,
55,2015-01-01,mkvalt,,2.129,,
56,2016-01-01,mkvalt,,2.467,,
57,2017-01-01,mkvalt,,2.917,,
58,2018-01-01,mkvalt,,2.885,,
59,2019-01-01,mkvalt,,3.51,,
