,year,factor,1.0,2.0,3.0,H-L
0,2008-01-01,GL,0.56,0.6,0.58,-0.02
1,2009-01-01,GL,0.75,0.84,0.8,-0.04
2,2010-01-01,GL,0.99,1.06,1.0,-0.01
3,2011-01-01,GL,0.87,1.01,0.96,-0.09
4,2012-01-01,GL,0.95,1.18,1.09,-0.14
5,2013-01-01,GL,1.31,1.63,1.38,-0.06
6,2014-01-01,GL,1.37,1.68,1.45,-0.08
7,2015-01-01,GL,1.17,1.5,1.33,-0.16
8,2016-01-01,GL,1.36,1.77,1.59,-0.23
9,2017-01-01,GL,1.51,1.95,1.73,-0.22
10,2018-01-01,GL,1.25,1.71,1.5,-0.24
11,2019-01-01,GL,1.28,1.71,1.59,-0.3
12,2008-01-01,SC,,0.6,,
13,2009-01-01,SC,,0.8,,
14,2010-01-01,SC,,1.0,,
15,2011-01-01,SC,,0.93,,
16,2012-01-01,SC,,1.06,,
17,2013-01-01,SC,,1.39,,
18,2014-01-01,SC,,1.46,,
19,2015-01-01,SC,,1.32,,
20,2016-01-01,SC,,1.56,,
21,2017-01-01,SC,,1.7,,
22,2018-01-01,SC,,1.47,,
23,2019-01-01,SC,,1.52,,
24,2008-01-01,RS,0.61,0.64,0.56,0.05
25,2009-01-01,RS,0.81,0.88,0.72,0.1
26,2010-01-01,RS,1.03,1.13,0.85,0.18
27,2011-01-01,RS,0.96,1.04,0.78,0.18
28,2012-01-01,RS,1.06,1.24,0.89,0.16
29,2013-01-01,RS,1.44,1.61,1.14,0.29
30,2014-01-01,RS,1.46,1.78,1.17,0.29
31,2015-01-01,RS,1.32,1.67,1.01,0.31
32,2016-01-01,RS,1.52,2.0,1.21,0.32
33,2017-01-01,RS,1.62,2.21,1.33,0.29
34,2018-01-01,RS,1.47,1.87,1.13,0.34
35,2019-01-01,RS,1.49,1.97,1.16,0.32
36,2008-01-01,LE,0.67,0.57,0.56,0.12
37,2009-01-01,LE,0.84,0.78,0.78,0.06
38,2010-01-01,LE,0.98,0.97,1.02,-0.04
39,2011-01-01,LE,0.9,0.91,0.95,-0.05
40,2012-01-01,LE,1.04,1.02,1.08,-0.04
41,2013-01-01,LE,1.34,1.33,1.47,-0.13
42,2014-01-01,LE,1.35,1.41,1.56,-0.21
43,2015-01-01,LE,1.24,1.29,1.39,-0.15
44,2016-01-01,LE,,1.52,,
45,2017-01-01,LE,,1.66,,
46,2018-01-01,LE,,1.43,,
47,2019-01-01,LE,,1.48,,
48,2008-01-01,mkvalt,,0.6,,
49,2009-01-01,mkvalt,,0.8,,
50,2010-01-01,mkvalt,,1.0,,
51,2011-01-01,mkvalt,,0.93,,
52,2012-01-01,mkvalt,,1.06,,
53,2013-01-01,mkvalt,,1.39,,
54,2014-01-01,mkvalt,,1.46,,
55,2015-01-01,mkvalt,,1.32,,
56,2016-01-01,mkvalt,,1.56,,
57,2017-01-01,mkvalt,,1.7,,
58,2018-01-01,mkvalt,,1.47,,
59,2019-01-01,mkvalt,,1.52,,
