,year,factor,1.0,2.0,3.0,H-L
0,2008-01-01,GL,0.207,0.489,0.514,-0.307
1,2009-01-01,GL,0.123,0.382,0.678,-0.555
2,2010-01-01,GL,0.13,0.487,0.555,-0.424
3,2011-01-01,GL,0.118,0.43,0.467,-0.349
4,2012-01-01,GL,0.134,0.53,0.418,-0.284
5,2013-01-01,GL,0.16,0.726,0.814,-0.654
6,2014-01-01,GL,0.151,0.778,1.204,-1.053
7,2015-01-01,GL,0.117,0.705,1.176,-1.059
8,2016-01-01,GL,0.138,0.914,1.167,-1.029
9,2017-01-01,GL,0.156,0.701,1.26,-1.105
10,2018-01-01,GL,0.136,0.665,1.191,-1.055
11,2019-01-01,GL,0.152,0.745,1.313,-1.161
12,2008-01-01,SC,,0.39,,
13,2009-01-01,SC,,0.412,,
14,2010-01-01,SC,,0.385,,
15,2011-01-01,SC,,0.332,,
16,2012-01-01,SC,,0.354,,
17,2013-01-01,SC,,0.525,,
18,2014-01-01,SC,,0.744,,
19,2015-01-01,SC,,0.671,,
20,2016-01-01,SC,,0.579,,
21,2017-01-01,SC,,0.551,,
22,2018-01-01,SC,,0.509,,
23,2019-01-01,SC,,0.566,,
24,2008-01-01,RS,0.408,0.506,0.214,0.193
25,2009-01-01,RS,0.577,0.345,0.266,0.311
26,2010-01-01,RS,0.45,0.427,0.253,0.197
27,2011-01-01,RS,0.374,0.407,0.214,0.16
28,2012-01-01,RS,0.337,0.489,0.25,0.087
29,2013-01-01,RS,0.453,0.572,0.509,-0.056
30,2014-01-01,RS,0.432,0.851,0.552,-0.12
31,2015-01-01,RS,0.417,0.794,0.443,-0.026
32,2016-01-01,RS,0.511,0.669,0.521,-0.009
33,2017-01-01,RS,0.569,0.756,0.368,0.201
34,2018-01-01,RS,0.55,0.7,0.324,0.226
35,2019-01-01,RS,0.598,0.776,0.37,0.229
36,2008-01-01,LE,0.489,0.633,0.231,0.258
37,2009-01-01,LE,0.556,0.806,0.168,0.387
38,2010-01-01,LE,0.534,0.617,0.242,0.291
39,2011-01-01,LE,0.474,0.507,0.218,0.256
40,2012-01-01,LE,0.579,0.421,0.259,0.32
41,2013-01-01,LE,0.793,0.485,0.425,0.368
42,2014-01-01,LE,1.167,0.513,0.393,0.774
43,2015-01-01,LE,1.065,0.51,0.324,0.74
44,2016-01-01,LE,,0.44,,
45,2017-01-01,LE,,0.419,,
46,2018-01-01,LE,,0.387,,
47,2019-01-01,LE,,0.43,,
48,2008-01-01,mkvalt,,0.39,,
49,2009-01-01,mkvalt,,0.412,,
50,2010-01-01,mkvalt,,0.385,,
51,2011-01-01,mkvalt,,0.332,,
52,2012-01-01,mkvalt,,0.354,,
53,2013-01-01,mkvalt,,0.525,,
54,2014-01-01,mkvalt,,0.744,,
55,2015-01-01,mkvalt,,0.671,,
56,2016-01-01,mkvalt,,0.579,,
57,2017-01-01,mkvalt,,0.551,,
58,2018-01-01,mkvalt,,0.509,,
59,2019-01-01,mkvalt,,0.566,,
