,year,factor,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
0,2008-01-01,GL,0.6366781869072125,0.6303756447594322,0.630227264128729,0.6525983910528057,0.6227394794641465,0.7104042480773975,0.6282478842129826,0.6199011321821524,0.6850262362850043,0.5764221169983048
1,2009-01-01,GL,0.8352686666920611,0.8668991438881573,0.7911640814815636,0.8672888078169066,0.8908118839528603,1.0282607309800886,0.8562827539971315,0.9030285971376367,0.9681497897653548,0.8228126132993505
2,2010-01-01,GL,1.006949455364588,1.069425607807521,0.9616301047028091,1.1165964700895008,1.1230741709561618,1.2189577811204297,1.081194613586311,1.126814597330345,1.1957297023840223,1.0577083395811624
3,2011-01-01,GL,0.9823599261512413,0.9701596256225856,0.91465113358961,1.0571690967703358,1.105574294060632,1.2164372854361643,1.0455055838956597,1.0907469795791638,1.1708780511727317,1.042997069858551
4,2012-01-01,GL,1.1437216164842399,1.072408763457779,0.9934421257029419,1.1821492754796679,1.275962417516767,1.4742145139989349,1.249101192877271,1.2567888702674008,1.3842768142036268,1.1862891060476226
5,2013-01-01,GL,1.4445665657369842,1.425600995669651,1.3635623818057285,1.6486409255323171,1.7176881599784477,1.9663933382630798,1.6298541275409553,1.6397614776485177,1.878778172340588,1.4970266452179068
6,2014-01-01,GL,1.5542427309198188,1.5647898265632378,1.423773438209669,1.811951898770726,1.7494647030734798,2.0673399315953653,1.6926111530471677,1.7597051806151798,2.0188475670367394,1.5719785608344532
7,2015-01-01,GL,1.3835216412807345,1.5102614019197391,1.2767068885067892,1.649800357635691,1.6924042824866812,1.9632568173259253,1.5991721959929133,1.6470444163376736,1.8365204210910073,1.4396210185415432
8,2016-01-01,GL,1.5937937330647358,1.7422011776382265,1.4342808767981934,1.8877117698271861,2.072689454542896,2.2573304488711066,1.8621937581243346,1.9358829948330458,2.165693738177734,1.645515673072642
9,2017-01-01,GL,1.865165056796828,2.0599559191813888,1.6713852395641597,2.2648149861364884,2.336347738564176,2.5728316167551233,2.097057339815381,2.259381463105602,2.5441299934133093,1.8380831992002258
10,2018-01-01,GL,1.7401095156352335,1.912942314509129,1.5499400917610517,1.966509639507941,2.0904454903381136,2.233273852354949,1.909265016511099,1.9332480082799863,2.283954624869447,1.6757542172163762
11,2019-01-01,GL,2.0771356718068668,2.0783562501651605,1.7003862904608005,2.1973084528953626,2.4745985785487856,2.4135141606352986,2.01800035791364,2.0762340950503115,2.670824432801807,1.7763333824603724
12,2008-01-01,SC,,,,,,0.6590849084951095,,,,
13,2009-01-01,SC,,,,,,0.8877187425317893,,,,
14,2010-01-01,SC,,,,,,1.0842874022099815,,,,
15,2011-01-01,SC,,,,,,1.0433015191558368,,,,
16,2012-01-01,SC,,,,,,1.1939338490092222,,,,
